key,value
Social_Live_In_App_Notice_Message,%s‘s LIVE video ended due to Community Guidelines violations
Social_Live_In_App_Violation_Message,Your LIVE video was closed due to Community Guidelines violation.
Social_live_In_App_Message_Title,LIVE
complete_user_task_1,Congratulations on earning the upgrade to [Superfan]. The medal award is valid until 23:59:59 today.
complete_user_task_2,Congratulations on upgrading to [Coach].
complete_user_task_3,Congratulations on upgrading to [Football Ambassador].
const_string_key,{0}
donate_some_money,{0:user} donated {1}
error_prompts_4006052,Daily gifting limit (accumulated amount in last 24 hours) reached. Try again later.
error_prompts_43006,Failed to send gift. No coins deduction.
exhibition_anchor_guide,"The gift pavilion is open, come and see which gifts are lit this week"
exhibition_user_guide,"The gift pavilion is open, light up gifts to enjoy the naming privilege~"
extra_diamonds,Diamonds + {0}%
guest_live_violation_ban_forever,You're banned from going LIVE as a guest due to multiple violations to the Community Guidelines.
guest_live_violation_ban_temporary,Your guest LIVE access is suspended until {0} on {1}.
guest_live_violation_details_multiple,Your LIVE content has multiple violations flagged within the last 90 days. Continued violations can result in a permanent ban to your guest LIVE access.
guest_live_violation_details_title_age,Guest LIVE access suspended for not meeting age requirement
guest_live_violation_details_title_ban,Guest LIVE access suspended for violating our Community Guidelines
guest_live_violation_details_title_close,Your guest LIVE video was stopped for violating our Community Guidelines
guest_live_violation_details_title_suicide,Your guest LIVE video was stopped for violating our Community Guidelines
live_chat_message,{0:user}{1:string}
live_doodle_gift_send_message_to_anchor,{0:user} sent the host {1} doodle gifts
live_doodle_gift_send_message_to_anyone,{0:user} sent {1} a doodle gift
live_gifr_5272,Care
live_gift_33,Legendary
live_gift_37,Panda
live_gift_38,Rainbow Puke
live_gift_39,Big Love
live_gift_5092,Sun Cream
live_gift_5172,Concert
live_gift_5212,Bravo
live_gift_5232,Drama Queen
live_gift_5236,Cupid
live_gift_5237,Shiba Inu
live_gift_5246,Hot air balloon
live_gift_5249,Little heart
live_gift_5253,Make It Rain
live_gift_5261,Test
live_gift_5269,TikTok
live_gift_5270,Candy
live_gift_5271,Rose
live_gift_5273,Diamond ring of love
live_gift_5274,Kiss
live_gift_5275,Dubai
live_gift_5276,US Dollar
live_gift_5277,Golden sports car
live_gift_5278,Romantic carriage
live_gift_5279,Yacht
live_gift_5281,Rose
live_gift_5282,Heart
live_gift_5283,Diamond ring of love
live_gift_5284,Kiss
live_gift_5285,Dubai
live_gift_5286,Cash rain
live_gift_5287,Golden sports car
live_gift_5288,Romantic carriage
live_gift_5289,Yacht
live_gift_5291,Marhaba
live_gift_5292,Coffee
live_gift_5293,Sceptre
live_gift_5294,Oud
live_gift_5295,Merhaba
live_gift_5297,Tea
live_gift_5298,Marhaba
